UID,UserPrompt,CorrectedPrompt,TranslatedPrompt,PromptingStrategy,Sentiment,5S_Strategies,5S_Voting,5S_Verdict
01_011,"면적 조건을 전혀 맞추지 못한다.(1000퍼센트가 넘는 실도 생김) 연결성을 전혀 만족하지 못한다.(예를 들면 남자 탈의실과 수영장이 연결되지 않고 창고로 가로 막힘 등) 생성 결과, 배치되지 않는 실이 생길때가 많다.","면적 조건을 전혀 맞추지 못한다.(1000퍼센트가 넘는 실도 생김) 연결성을 전혀 만족하지 못한다.(예를 들면 남자 탈의실과 수영장이 연결되지 않고 창고로 가로 막힘 등) 생성 결과, 배치되지 않는 실이 생길 때가 많다.","It doesn't meet the area conditions at all. (Rooms exceeding 1000% appear) It doesn't satisfy connectivity at all. (For example, the men's changing room and swimming pool are not connected and blocked by a warehouse, etc.) Often, some rooms aren't placed in the generation result.",Negative Judgement Statements;Negative Judgement Statements;Exemplification;Negative Judgement Statements.,Very Negative,Substantiate,"""It doesn't meet the area conditions at all."" → Substantiate (Substantiate, Substantiate, Substantiate, Substantiate, Substantiate); ""(Rooms exceeding 1000% appear)"" → Substantiate (Substantiate, Substantiate, Supplement, Substantiate, Substantiate); ""It doesn't satisfy connectivity at all."" → Substantiate (Substantiate, Substantiate, Substantiate, Substantiate, Substantiate); ""(For example, the men's changing room and swimming pool are not connected and blocked by a warehouse, etc.)"" → Substantiate (Substantiate, Substantiate, Supplement, Substantiate, Substantiate); ""Often, some rooms aren't placed in the generation result."" → Substantiate (Substantiate, Substantiate, Substantiate, Substantiate, Substantiate); Holistic Evaluation - The prompt is primarily reporting problems and giving examples of failures (area, connectivity, missing rooms), which is evaluative feedback. This aligns with Substantiate across the whole prompt.; ","The user is validating outcomes and flagging errors, providing concrete examples of where the system fails. These are classic Substantiate behaviors—reporting issues and evaluating correctness—without requesting steps, setting parameters, aligning terms, or specifying output formats."
01_012,이거 하드코딩아니야?,이거 하드코딩 아니야?,Isn't this hardcoded?,Clarification Questions,Neutral,Substantiate,"""Isn't this hardcoded?"" → Substantiate (Substantiate, Substantiate, Substantiate, Substantiate, Substantiate); Holistic Evaluation - None; ","The prompt provides evaluative feedback by questioning whether an implementation choice (hardcoding) is present, implying a potential problem or limitation. This aligns with Substantiate, which covers validation, critique, and quality concerns."
01_013,너진짜 제대로 안할래? 왜 안하던짓하고 속이려들어?,너 진짜 제대로 안 할래? 왜 안 하던 짓 하고 속이려 들어?,Are you really not going to do it properly? Why are you doing things you don't usually do and trying to deceive me?,Clarification Questions;Clarification Questions,Negative,Substantiate,"""Are you really not going to do it properly?"" → Substantiate (Substantiate, Substantiate, Substantiate, Substantiate, Substantiate); ""Why are you doing things you don't usually do and trying to deceive me?"" → Substantiate (Substantiate, Substantiate, Substantiate, Substantiate, Substantiate); Holistic Evaluation - The prompt provides negative feedback and questions the assistant’s behavior, seeking an explanation for unexpected or unsatisfactory results; this is validation/feedback rather than instructions or formatting requests. ","Both sentences evaluate performance and allege misleading behavior—classic validation/feedback—so they fall under Substantiate. There is no stepwise process (Split), parameter setting (Supplement), terminology alignment (Sync), or formatting/code request (Structure)."
01_014,그런데 지금도 하나의 결과 밖에는 도출이 안돼.,그런데 지금도 하나의 결과 밖에는 도출이 안 돼.,"But even now, only one result is produced.",Negative Judgement Statements,Neutral,Substantiate,"""But even now, only one result is produced."" → Substantiate (Substantiate, Substantiate, Substantiate, Substantiate, Substantiate); Holistic Evaluation - None; ","The sentence reports an ongoing issue/limitation with the system’s output (only one result), which is evaluative feedback. It does not set parameters, request steps, align terminology, or ask for a specific data format, so it fits Substantiate."
01_015,탐색한 조합 숫자 올라가는게 진짜야? 실제 배치가 안보이니까 알수가 없네,탐색한 조합 숫자 올라가는 게 진짜야? 실제 배치가 안 보이니까 알 수가 없네.,Is the number of explored combinations really increasing? I can't tell because the actual layout isn't visible.,Factual Questions;Negative Judgement Statements,Neutral,Substantiate,"""Is the number of explored combinations really increasing?"" → Substantiate (Substantiate, Substantiate, Substantiate, Substantiate, Substantiate); ""I can't tell because the actual layout isn't visible."" → Substantiate (Substantiate, Substantiate, Substantiate, Substantiate, Substantiate); Holistic Evaluation - None; ","The prompt asks for validation of a trend (whether a metric is increasing) and provides feedback about a limitation (layout not visible), which fits Substantiate: validation and reporting issues/constraints."
01_016,"최적화가 끝나는 조건은 뭐고, 점수는 어떤기준으로 내는거야?","최적화가 끝나는 조건은 뭐고, 점수는 어떤 기준으로 내는 거야?","What is the condition for optimization to end, and what criteria are used for scoring?",Factual Questions;Factual Questions,Neutral,Supplement,"""What is the condition for optimization to end, and what criteria are used for scoring?"" → Supplement (Supplement, Supplement, Supplement, Supplement, Supplement); Holistic Evaluation - None; ","The prompt requests clarification of parameters and evaluation metrics (stopping condition and scoring criteria), which aligns with Supplement because it seeks to define rules and thresholds rather than steps, formats, or terminology alignment."
01_017,"그럼 조합을 바꿀때, 실제로 어떤 값을 바꿔가면서 최적화가 실행되는거야?","그럼 조합을 바꿀 때, 실제로 어떤 값을 바꿔가면서 최적화가 실행되는 거야?","Then, when changing combinations, what values are actually being changed while optimization is executed?",Hypothetical/Conditional Questions;Clarification Questions,Neutral,Supplement,"""Then, when changing combinations, what values are actually being changed while optimization is executed?"" → Supplement (Supplement, Supplement, Supplement, Supplement, Supplement); Holistic Evaluation - None; ","The prompt asks for clarification about which variables/parameters change during optimization, i.e., requesting details about the factors involved. This aligns with Supplement because it seeks specific information about variables and scope rather than steps, format, or evaluation."
01_018,"아하. 일단 그럼 제약조건을 조금 더 정교화 해보자. 여탈과 남탈은 서로 인접해 있어야 하고, 강사실은 수영장에 연결되어있어야해. 이외 조건들도 찾아봐","아하. 일단 그럼 제약 조건을 조금 더 정교화 해보자. 여탈과 남탈은 서로 인접해 있어야 하고, 강사실은 수영장에 연결되어 있어야 해. 이외 조건들도 찾아봐.","Ah. For now, let's refine the constraints a bit more. The women's and men's changing rooms must be adjacent to each other, and the instructor's room must be connected to the swimming pool. Look for other conditions as well.",Emotional Negatives;Specification Commands;Specification Commands;Execution Commands.,Neutral,Supplement,"""Ah."" → None (None, None, None, None, None); ""For now, let's refine the constraints a bit more."" → Supplement (Supplement, Supplement, Supplement, Supplement, Supplement); ""The women's and men's changing rooms must be adjacent to each other, and the instructor's room must be connected to the swimming pool."" → Supplement (Supplement, Supplement, Supplement, Supplement, Supplement); ""Look for other conditions as well."" → Supplement (Supplement, Supplement, Supplement, Supplement, Supplement); Holistic Evaluation - Overall, the prompt refines and adds design constraints for a facility layout. It is best classified as Supplement because it sets and requests additional parameters/requirements without prescribing a sequence or format.; ","The sentences introduce and expand constraints (adjacency, connectivity) and ask for more such rules, which fits Supplement. There is no workflow (Split), terminology mapping (Sync), structured output (Structure), or evaluation/feedback (Substantiate)."
01_019,역시나 잘 안되는것 같다. 최적화가 멈췄는데 점수는 -798이고 여탈 남탈이 수영장과 연결되지도 않았어,역시나 잘 안 되는 것 같다. 최적화가 멈췄는데 점수는 -798이고 여탈 남탈이 수영장과 연결되지도 않았어.,"As expected, it's not working well. Optimization stopped with a score of -798, and the women's and men's changing rooms aren't even connected to the swimming pool.",Negative Judgement Statements;Negative Judgement Statements;Negative Judgement Statements.,Negative,Substantiate,"""As expected, it's not working well."" → Substantiate (Substantiate, Substantiate, Substantiate, Substantiate, Substantiate); ""Optimization stopped with a score of -798, and the women's and men's changing rooms aren't even connected to the swimming pool."" → Substantiate (Substantiate, Substantiate, Substantiate, Substantiate, Substantiate); Holistic Evaluation - None; ","The prompt delivers evaluative feedback and reports specific issues and metrics (poor performance, optimization score, lack of connections), which are hallmarks of Substantiate (validation and feedback)."
01_020,최적화 해봤자 면적만 맞추는거아니야 지금. 나머진 하드코딩이고.,최적화 해봤자 면적만 맞추는 거 아니야 지금. 나머진 하드코딩이고.,"Even with optimization, it's only matching the areas right now. The rest is hardcoded.",Negative Judgement Statements;Negative Judgement Statements,Negative,Substantiate,"""Even with optimization, it's only matching the areas right now."" → Substantiate (Substantiate, Substantiate, Substantiate, Substantiate, Substantiate); ""The rest is hardcoded."" → Substantiate (Substantiate, Substantiate, Substantiate, Substantiate, Substantiate); Holistic Evaluation - None.; ","The prompt provides evaluative feedback about current system behavior and limitations (only matching areas; other parts hardcoded), which aligns with Substantiate. There are no instructions, sequencing, formatting requests, or terminology alignment cues."
01_021,평면배치할 때 주어진 cluster zone을 주어진 rooms의 면적에 맞게 분할 할 수 있는 방법이 뭐가 있을까? 네가 잘할 수 있는 방법은 뭐가 있니,평면 배치할 때 주어진 cluster zone을 주어진 rooms의 면적에 맞게 분할 할 수 있는 방법이 뭐가 있을까? 네가 잘할 수 있는 방법은 뭐가 있니?,"When doing floor plan layout, what methods are there to divide the given cluster zone according to the areas of the given rooms? What methods can you do well?",Procedural or How-To Questions;Comparative Questions,Neutral,"Split, Substantiate","""When doing floor plan layout, what methods are there to divide the given cluster zone according to the areas of the given rooms?"" → Split (Split, Split, Split, Supplement, Split); ""What methods can you do well?"" → Substantiate (Substantiate, Substantiate, Substantiate, Substantiate, Substantiate); Holistic Evaluation - The prompt chiefly asks to identify/outline methods (Split) and to self-evaluate capability on those methods (Substantiate). While the first sentence includes constraints about areas (a Supplement-like element), the dominant intent is method identification rather than parameter setting. ",This prompt seeks a breakdown of possible approaches (Split) and an assessment of which approaches the assistant can handle effectively (Substantiate). Any constraint-setting present is secondary to the main goals of method identification and capability evaluation.
01_022,"주어진 경계 내부에서 각 실들이 1차적으로는 면적을 가진 원으로 표현되는데, 이 원은 말랑말랑해서 서로 상호작용해 풍선처럼. 그런데 grid on을 클릭하면 이 풍선이 사각형 그리드에 맞게 정형화되는거야.","주어진 경계 내부에서 각 실들이 1차적으로는 면적을 가진 원으로 표현되는데, 이 원은 말랑말랑해서 서로 상호작용해 풍선처럼. 그런데 grid on을 클릭하면 이 풍선이 사각형 그리드에 맞게 정형화되는 거야.","Inside the given boundary, each room is initially represented as a circle with area, and these circles are soft and interact like balloons. But when you click grid on, these balloons are formalized to fit a rectangular grid.",Information Provision;Information Provision.,Neutral,Supplement,"""Inside the given boundary, each room is initially represented as a circle with area, and these circles are soft and interact like balloons."" → Supplement (Supplement, Supplement, Supplement, Supplement, Supplement); ""But when you click grid on, these balloons are formalized to fit a rectangular grid."" → Supplement (Supplement, Supplement, Supplement, Supplement, Supplement); Holistic Evaluation - None; ","The prompt sets behavioral rules and constraints for the system (initial representation, interaction model, and behavior when a UI toggle is enabled). These are parameter-setting instructions rather than stepwise procedures, data-format requests, terminology alignment, or evaluation."
01_023,"버블모드에서 서로 전혀 상관관계를 맺지 못해. 반발력에 의해 찌그러지던지, 형태가 어느정도 변해야 맞는거아니야?","버블 모드에서 서로 전혀 상관관계를 맺지 못해. 반발력에 의해 찌그러지던지, 형태가 어느 정도 변해야 맞는 거 아니야?","In bubble mode, they don't relate to each other at all. Shouldn't they get squished by repulsive forces or change shape to some extent?",Information Provision;Hypothetical/Conditional Questions,Neutral,Substantiate,"""In bubble mode, they don't relate to each other at all."" → Substantiate (Substantiate, Substantiate, Substantiate, Substantiate, Substantiate); ""Shouldn't they get squished by repulsive forces or change shape to some extent?"" → Substantiate (Substantiate, Substantiate, Substantiate, Substantiate, Supplement); Holistic Evaluation - The prompt offers evaluative feedback about “bubble mode” behavior and questions its correctness, expecting physics-like interactions (repulsion/shape change). It is seeking validation and potential correction, not giving procedural steps or formatting requirements.; ","The prompt primarily critiques observed behavior and requests confirmation/adjustment, which aligns with Substantiate. Although it hints at desired dynamics, it does not set explicit parameters (Supplement) or outline a process (Split)."
01_024,"제어점이 너무 적어. 훨씬 많아야해. 경계 조건이 완벽하지 않은지, 실이 겹쳐. 실은 절대 겹칠수 없는거 명심해. 3.","제어점이 너무 적어. 훨씬 많아야 해. 경계 조건이 완벽하지 않은지, 실이 겹쳐. 실은 절대 겹칠 수 없는 거 명심해. 3.","There are too few control points. There need to be many more. Maybe the boundary conditions aren't perfect, the rooms are overlapping. Remember, rooms must never overlap. 3.",Negative Judgement Statements;Negative Judgement Statements;Negative Judgement Statements;Execution Commands;Others.,Negative,"Substantiate, Supplement","""There are too few control points."" → Substantiate (Substantiate, Substantiate, Substantiate, Substantiate, Substantiate); ""There need to be many more."" → Supplement (Supplement, Supplement, Supplement, Supplement, Supplement); ""Maybe the boundary conditions aren't perfect, the rooms are overlapping."" → Substantiate (Substantiate, Substantiate, Substantiate, Substantiate, Substantiate); ""Remember, rooms must never overlap."" → Supplement (Supplement, Supplement, Supplement, Supplement, Supplement); ""3."" → None (None, None, None, None, None); Holistic Evaluation - The prompt primarily delivers evaluative feedback about problems (too few control points, overlapping rooms) and reiterates a constraint (rooms must never overlap), with a general instruction to increase control points. No sequencing or formatting requests are present.; ","The prompt combines Substantiate (diagnosing and reporting issues) with Supplement (stating constraints and a desired adjustment). It does not decompose tasks, align terminology, or request structured outputs."
01_025,"여전히 경계가 겹쳐진다. 경계는 절대 절대로 겹치면 안돼. 제어점이 균등하게 퍼지는게 아니라, 힘을 많이 받는 곳에만 가서 그런지 매우 이상한 결과가 나온다.","여전히 경계가 겹쳐진다. 경계는 절대 절대로 겹치면 안 돼. 제어점이 균등하게 퍼지는 게 아니라, 힘을 많이 받는 곳에만 가서 그런지 매우 이상한 결과가 나온다.","The boundaries are still overlapping. Boundaries must absolutely never overlap. The control points aren't spreading evenly, but only going to areas with high force, resulting in very strange outcomes.",Negative Judgement Statements;Emotional Negatives;Negative Judgement Statements.,Negative,"Substantiate, Supplement","""The boundaries are still overlapping."" → Substantiate (Substantiate, Substantiate, Substantiate, Substantiate, Substantiate); ""Boundaries must absolutely never overlap."" → Supplement (Supplement, Supplement, Supplement, Supplement, Supplement); ""The control points aren't spreading evenly, but only going to areas with high force, resulting in very strange outcomes."" → Substantiate (Substantiate, Substantiate, Substantiate, Substantiate, Substantiate); Holistic Evaluation - The prompt primarily provides problem-focused feedback (Substantiate) about overlapping boundaries and uneven control point distribution, while also imposing a strict constraint that boundaries must never overlap (Supplement). ","The sentences report issues with current behavior (Substantiate) and explicitly set a non-overlap rule (Supplement). No stepwise workflow, format conversion, or terminology alignment is requested."
01_026,아직도 버블들이 겹쳐. 도대체 이 문제 왜일어나는거야?,아직도 버블들이 겹쳐. 도대체 이 문제 왜 일어나는 거야?,The bubbles are still overlapping. What on earth is causing this problem?,Information Provision;Emotional Negatives,Negative,Substantiate,"""The bubbles are still overlapping."" → Substantiate (Substantiate, Substantiate, Substantiate, Substantiate, Substantiate); ""What on earth is causing this problem?"" → Substantiate (Substantiate, Substantiate, Substantiate, Substantiate, Substantiate); Holistic Evaluation - The prompt reports an issue and requests a diagnosis for unexpected behavior, which squarely fits validation/feedback (Substantiate). ","The user provides negative feedback about the current state and asks for causal analysis of the issue, both of which are core to the Substantiate strategy. There are no stepwise instructions, parameter settings, format conversions, or terminology alignment."
01_027,나는 이런식의 결과를 원한다고. 이해했어?,나는 이런 식의 결과를 원한다고. 이해했어?,I want results like this. Do you understand?,Emotional Affirmations;Clarification Questions,Neutral,Supplement,"""I want results like this."" → Supplement (Supplement, Supplement, Supplement, Supplement, Supplement); ""Do you understand?"" → Supplement (Supplement, Substantiate, Supplement, Supplement, Supplement); Holistic Evaluation - The prompt primarily sets a desired outcome (by reference) and asks for confirmation/clarification of understanding, which aligns with Supplement. There is no sequencing, format transformation, or terminology alignment involved. ","The prompt uses Supplement by specifying an expected result style and requesting clarification of understanding. No elements indicate Split, Structure, Sync, or Substantiate as the dominant strategies."
01_028,아니야 저건 부드러운 버블들이 꽉차서 저 상태로 고정된거에 가까워. 이해했어?,아니야 저건 부드러운 버블들이 꽉 차서 저 상태로 고정된 거에 가까워. 이해했어?,"No, that's closer to soft bubbles being packed full and fixed in that state. Do you understand?",Negative Judgement Statements;Clarification Questions,Neutral,Substantiate,"""No, that's closer to soft bubbles being packed full and fixed in that state."" → Substantiate (Substantiate, Substantiate, Substantiate, Substantiate, Substantiate); ""Do you understand?"" → Substantiate (Substantiate, Substantiate, Substantiate, Substantiate, Substantiate); Holistic Evaluation - The prompt provides corrective feedback about a prior interpretation and asks for confirmation of understanding, which aligns with validation/feedback rather than instructions or structuring. ","The sentences deliver evaluative feedback (“No, that’s closer to…”) and request a confirmation of comprehension, both of which fall under Substantiate (validation and feedback), with no stepwise instructions, parameter setting, format requests, or terminology alignment across systems."
01_029,처음부터 다시짜자.,처음부터 다시 짜자.,Let's rebuild from the beginning.,Execution Commands,Neutral,Supplement,"""Let's rebuild from the beginning."" → Supplement (Supplement, Supplement, Supplement, None, Supplement); Holistic Evaluation - None; ","The sentence is a direct instruction to restart the task, setting the desired system behavior without specifying steps, formats, or terminology alignment. Hence it fits Supplement and not Split, Structure, Sync, or Substantiate."
01_030,근데 안정화되지가 않네.,근데 안정화되지가 않네.,But it's not stabilizing.,Negative Judgement Statements,Negative,Substantiate,"""But it's not stabilizing."" → Substantiate (Substantiate, Substantiate, Substantiate, Substantiate, Substantiate); Holistic Evaluation - None; ","The sentence reports a problem/unexpected behavior without asking for steps, setting parameters, or aligning terminology. This is evaluative feedback, which falls under Substantiate."
